object_track_no,frame_no,speed
3,11,19.285714285714285
3,12,19.285714285714285
3,13,19.285714285714285
3,14,19.285714285714285
3,15,19.285714285714285
3,16,19.285714285714285
3,17,19.285714285714285
3,18,19.285714285714285
3,19,19.285714285714285
4,20,19.285714285714285
4,21,19.285714285714285
4,22,19.285714285714285
4,23,19.285714285714285
4,24,19.285714285714285
4,25,19.285714285714285
4,26,19.285714285714285
4,27,19.285714285714285
4,28,19.285714285714285
4,29,19.285714285714285
5,30,19.285714285714285
5,31,19.285714285714285
5,32,19.285714285714285
5,33,19.285714285714285
5,34,19.285714285714285
5,34,35.56110004955828
5,35,19.285714285714285
5,35,35.56110004955828
5,36,19.285714285714285
5,36,35.56110004955828
5,37,19.285714285714285
5,37,35.56110004955828
5,38,19.285714285714285
5,38,35.56110004955828
5,39,19.285714285714285
5,39,35.56110004955828
5,40,19.285714285714285
5,40,35.56110004955828
5,41,19.285714285714285
5,41,35.56110004955828
5,42,19.285714285714285
5,42,35.56110004955828
5,43,19.285714285714285
5,43,35.56110004955828
5,44,19.285714285714285
5,44,35.56110004955828
5,45,19.285714285714285
5,45,35.56110004955828
5,46,19.285714285714285
5,46,35.56110004955828
5,47,19.285714285714285
5,47,35.56110004955828
5,48,19.285714285714285
5,48,35.56110004955828
5,49,19.285714285714285
5,49,35.56110004955828
5,50,19.285714285714285
5,50,35.56110004955828
5,51,19.285714285714285
5,51,35.56110004955828
5,52,19.285714285714285
5,52,35.56110004955828
5,53,19.285714285714285
5,53,35.56110004955828
5,54,19.285714285714285
5,54,35.56110004955828
5,55,19.285714285714285
5,55,35.56110004955828
5,56,19.285714285714285
5,56,35.56110004955828
5,57,19.285714285714285
5,57,35.56110004955828
5,58,19.285714285714285
5,58,35.56110004955828
5,59,19.285714285714285
5,59,35.56110004955828
6,60,19.285714285714285
6,60,35.56110004955828
6,61,19.285714285714285
6,61,35.56110004955828
6,62,19.285714285714285
6,62,35.56110004955828
6,63,35.56110004955828
6,64,35.56110004955828
6,65,35.56110004955828
6,66,35.56110004955828
6,67,35.56110004955828
6,68,35.56110004955828
6,69,35.56110004955828
6,70,35.56110004955828
6,71,35.56110004955828
6,72,35.56110004955828
6,73,35.56110004955828
6,73,38.57142857142857
6,74,35.56110004955828
6,74,38.57142857142857
6,75,35.56110004955828
6,75,38.57142857142857
6,76,35.56110004955828
6,76,38.57142857142857
6,77,35.56110004955828
6,77,38.57142857142857
6,78,35.56110004955828
6,78,38.57142857142857
6,79,35.56110004955828
6,79,38.57142857142857
6,80,35.56110004955828
6,80,38.57142857142857
6,81,35.56110004955828
6,81,38.57142857142857
6,82,35.56110004955828
6,82,38.57142857142857
6,83,35.56110004955828
6,83,38.57142857142857
6,84,35.56110004955828
6,84,38.57142857142857
6,85,35.56110004955828
6,85,38.57142857142857
6,86,35.56110004955828
6,86,38.57142857142857
6,87,35.56110004955828
6,87,38.57142857142857
6,88,35.56110004955828
6,88,38.57142857142857
6,89,35.56110004955828
6,89,38.57142857142857
7,90,35.56110004955828
7,90,38.57142857142857
7,91,35.56110004955828
7,91,38.57142857142857
7,92,35.56110004955828
7,92,38.57142857142857
7,93,35.56110004955828
7,93,38.57142857142857
7,94,35.56110004955828
7,94,38.57142857142857
7,95,35.56110004955828
7,95,38.57142857142857
7,96,35.56110004955828
7,96,38.57142857142857
7,97,35.56110004955828
7,97,38.57142857142857
7,98,35.56110004955828
7,98,38.57142857142857
7,99,35.56110004955828
7,99,38.57142857142857
7,100,35.56110004955828
7,100,38.57142857142857
